GWAS Gene,PUBMEDID,STUDY,DISEASE/TRAIT,INITIAL SAMPLE SIZE,REPLICATION SAMPLE SIZE,REGION,CHR_ID,CHR_POS,STRONGEST SNP-RISK ALLELE,SNPS,SNP_ID_CURRENT,P-VALUE
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,15q21.3,15,58753575,rs593742-?,rs593742,593742,6.00E-11
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,16p11.2,16,31111250,rs889555-?,rs889555,889555,3.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,17p13.2,17,5110917,rs73976310-?,rs73976310,73976310,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,17q23.3,17,63468418,rs6504163-?,rs6504163,6504163,5.00E-09
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19p13.3,19,1043639,rs3752231-?,rs3752231,3752231,6.00E-11
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19p13.3,19,1039445,rs3795065-?,rs3795065,3795065,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.31,19,44516798,rs80257887-?,rs80257887,80257887,3.00E-10
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.31,19,44673285,rs142034848-?,rs142034848,142034848,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.31,19,44549809,rs73046410-?,rs73046410,73046410,2.00E-10
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,44854769,rs143459034-?,rs143459034,143459034,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.31,19,44646342,rs56261258-?,rs56261258,56261258,1.00E-21
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.31,19,44544863,rs75161053-?,rs75161053,75161053,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.31,19,44685157,rs2965156-?,rs2965156,2965156,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.31,19,44696254,rs73035597-?,rs73035597,73035597,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,44750911,rs8103315-?,rs8103315,8103315,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.31,19,44658298,rs203709-?,rs203709,203709,7.00E-17
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.31,19,44697256,rs2965163-?,rs2965163,2965163,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.31,19,44698757,rs12150984-?,rs12150984,12150984,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,44717621,rs11881756-?,rs11881756,11881756,1.00E-14
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,44750234,rs10401176-?,rs10401176,10401176,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,44752009,rs62117205-?,rs62117205,62117205,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,44738381,rs2927437-?,rs2927437,2927437,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,44746404,rs12459810-?,rs12459810,12459810,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,44724478,rs7254776-?,rs7254776,7254776,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,44750325,rs8100197-?,rs8100197,8100197,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,44799694,rs2967668-?,rs2967668,2967668,4.00E-18
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,44828429,rs112262807-?,rs112262807,112262807,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,44839558,rs1466435-?,rs1466435,1466435,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,44807827,rs140824606-?,rs140824606,140824606,4.00E-26
